"GeneID"	"geno"	"tpm"
"226"	"Olfr1234"	"OMPGFP"	5.20453283232534
"227"	"Olfr1235-ps1"	"OMPGFP"	0
"228"	"Olfr1238"	"OMPGFP"	0.133587992956537
"229"	"Olfr1239"	"OMPGFP"	3.0255266163819
"230"	"Olfr124"	"OMPGFP"	22.6927604771582
"231"	"Olfr1240"	"OMPGFP"	20.6471373028579
"232"	"Olfr1241"	"OMPGFP"	1.10562360155852
"233"	"Olfr1242"	"OMPGFP"	5.02481480752904
"234"	"Olfr1243"	"OMPGFP"	9.41973614386903
"235"	"Olfr1245"	"OMPGFP"	2.91025593695144
"236"	"Olfr1246"	"OMPGFP"	3.55153958108388
"237"	"Olfr1247"	"OMPGFP"	4.79755540624041
"238"	"Olfr1248"	"OMPGFP"	0
"239"	"Olfr1249"	"OMPGFP"	0
"240"	"Olfr125"	"OMPGFP"	19.555057990537
"241"	"Olfr1250"	"OMPGFP"	3.36237141540735
"242"	"Olfr1251"	"OMPGFP"	3.33687934805445
"243"	"Olfr1252"	"OMPGFP"	18.1264897755191
"244"	"Olfr1253"	"OMPGFP"	14.4177359526922
"245"	"Olfr1254"	"OMPGFP"	11.6629879435564
"246"	"Olfr1255"	"OMPGFP"	1.24223947148008
"247"	"Olfr1256"	"OMPGFP"	16.456817408159
"248"	"Olfr1257"	"OMPGFP"	1.53918914593747
"249"	"Olfr1258"	"OMPGFP"	4.99120106775325
"250"	"Olfr1259"	"OMPGFP"	3.56070484451893
"251"	"Olfr126"	"OMPGFP"	7.39007073469232
"252"	"Olfr1260"	"OMPGFP"	13.4303360611126
"253"	"Olfr1261"	"OMPGFP"	0.475198617011444
"254"	"Olfr1262"	"OMPGFP"	3.92038859034441
"255"	"Olfr1263"	"OMPGFP"	16.836807536303
"256"	"Olfr1264"	"OMPGFP"	24.7612555959533
"257"	"Olfr1265"	"OMPGFP"	1.56490724305946
"258"	"Olfr1268-ps1"	"OMPGFP"	1.67245227545586
"259"	"Olfr1269"	"OMPGFP"	0.810779592088781
"260"	"Olfr127"	"OMPGFP"	3.12468841499761
"261"	"Olfr1270"	"OMPGFP"	1.49193464232595
"262"	"Olfr1271"	"OMPGFP"	11.2167856224132
"263"	"Olfr1272"	"OMPGFP"	0
"264"	"Olfr1273-ps"	"OMPGFP"	0
"265"	"Olfr1274-ps"	"OMPGFP"	3.48658828079751
"266"	"Olfr1275"	"OMPGFP"	1.93007398316555
"267"	"Olfr1276"	"OMPGFP"	0.762380810321271
"268"	"Olfr1277"	"OMPGFP"	8.32708551680127
"269"	"Olfr1278"	"OMPGFP"	1.5080359754255
"270"	"Olfr1279"	"OMPGFP"	1.98720728765966
"271"	"Olfr128"	"OMPGFP"	7.13072833807999
"272"	"Olfr1280"	"OMPGFP"	3.46662839548628
"273"	"Olfr1281"	"OMPGFP"	10.9419916845184
"274"	"Olfr1282"	"OMPGFP"	0
"275"	"Olfr1283"	"OMPGFP"	6.0076246210454
"276"	"Olfr1284"	"OMPGFP"	2.67592364072938
"277"	"Olfr1285"	"OMPGFP"	0.296725403709911
"278"	"Olfr1286"	"OMPGFP"	12.8036584142608
"279"	"Olfr1287"	"OMPGFP"	0
"280"	"Olfr1288"	"OMPGFP"	3.20490288984415
"281"	"Olfr1289"	"OMPGFP"	0.833070567396882
"282"	"Olfr129"	"OMPGFP"	13.5278929816534
"283"	"Olfr1290"	"OMPGFP"	2.58419047244351
"284"	"Olfr1291-ps1"	"OMPGFP"	10.4936610117279
"285"	"Olfr1292-ps1"	"OMPGFP"	0
"286"	"Olfr1293-ps"	"OMPGFP"	1.71419401278005
"287"	"Olfr1294"	"OMPGFP"	2.09268403713777
"288"	"Olfr1295"	"OMPGFP"	4.40687995015556
"289"	"Olfr1296-ps1"	"OMPGFP"	0
"290"	"Olfr1297"	"OMPGFP"	9.58637554274851
"291"	"Olfr1298"	"OMPGFP"	2.53003585874462
"292"	"Olfr1299"	"OMPGFP"	3.68352220174715
"293"	"Olfr13"	"OMPGFP"	3.02069501032052
"294"	"Olfr130"	"OMPGFP"	9.90294787352407
"295"	"Olfr1300-ps1"	"OMPGFP"	0
"296"	"Olfr1301"	"OMPGFP"	10.5626376932892
"297"	"Olfr1302"	"OMPGFP"	3.4347126211798
"298"	"Olfr1303"	"OMPGFP"	2.32659050300342
"299"	"Olfr1305"	"OMPGFP"	9.01718952456623
"300"	"Olfr1306"	"OMPGFP"	1.5632111730706
"301"	"Olfr1307"	"OMPGFP"	2.72510807552575
"302"	"Olfr1308"	"OMPGFP"	2.45241097522411
"303"	"Olfr1309"	"OMPGFP"	2.89255199348847
"304"	"Olfr131"	"OMPGFP"	38.6336475630304
"305"	"Olfr1310"	"OMPGFP"	6.34751613104557
"306"	"Olfr1311"	"OMPGFP"	4.67623341607631
"307"	"Olfr1312"	"OMPGFP"	3.19873806869617
"308"	"Olfr1313"	"OMPGFP"	2.52604618681353
"309"	"Olfr1314"	"OMPGFP"	0
"310"	"Olfr1315-ps1"	"OMPGFP"	1.25637878253757
"311"	"Olfr1316"	"OMPGFP"	0.803194336029738
"312"	"Olfr1317"	"OMPGFP"	1.19055924693468
"313"	"Olfr1318"	"OMPGFP"	4.31441749434857
"314"	"Olfr132"	"OMPGFP"	2.22497446698081
"315"	"Olfr1320"	"OMPGFP"	36.212992953818
"316"	"Olfr1321"	"OMPGFP"	128.105871729193
"317"	"Olfr1322"	"OMPGFP"	78.3114477628995
"318"	"Olfr1323"	"OMPGFP"	32.8245005572025
"319"	"Olfr1324"	"OMPGFP"	6.2879405379101
"320"	"Olfr1325"	"OMPGFP"	13.7036130510067
"321"	"Olfr1326-ps1"	"OMPGFP"	22.3995965372768
"322"	"Olfr1328"	"OMPGFP"	5.07225132118561
"323"	"Olfr1329"	"OMPGFP"	0.410123647165928
"324"	"Olfr133"	"OMPGFP"	0
"325"	"Olfr1330"	"OMPGFP"	20.3334987173844
"326"	"Olfr1331"	"OMPGFP"	2.39217631969229
"327"	"Olfr1333"	"OMPGFP"	0.716765260909655
"328"	"Olfr1335"	"OMPGFP"	0.33653003103685
"329"	"Olfr1336"	"OMPGFP"	24.9888531038835
"330"	"Olfr1337"	"OMPGFP"	0.406242350820509
"331"	"Olfr1338"	"OMPGFP"	0
"332"	"Olfr1339"	"OMPGFP"	0.302890220015919
"333"	"Olfr134"	"OMPGFP"	1.03023060168081
"334"	"Olfr1340"	"OMPGFP"	2.02515088032014
"335"	"Olfr1341"	"OMPGFP"	5.90327382117613
"336"	"Olfr1342"	"OMPGFP"	5.67272891717791
"337"	"Olfr1343-ps1"	"OMPGFP"	0
"338"	"Olfr1344"	"OMPGFP"	16.040984230773
"339"	"Olfr1346"	"OMPGFP"	20.7223785565606
"340"	"Olfr1347"	"OMPGFP"	25.0311783017077
"341"	"Olfr1348"	"OMPGFP"	62.4142772490676
"342"	"Olfr1349"	"OMPGFP"	15.5479662711742
"343"	"Olfr135"	"OMPGFP"	1.3285298336668
"344"	"Olfr1350"	"OMPGFP"	12.9805535661663
"345"	"Olfr1351"	"OMPGFP"	0.57921510589251
"346"	"Olfr1352"	"OMPGFP"	10.2881155126527
"347"	"Olfr1353"	"OMPGFP"	2.90770051904394
"348"	"Olfr1354"	"OMPGFP"	3.5781361860441
"349"	"Olfr1355"	"OMPGFP"	1.00959009311055
"350"	"Olfr1356"	"OMPGFP"	0.542988721897828
"351"	"Olfr1357"	"OMPGFP"	4.52345396444849
"352"	"Olfr1359"	"OMPGFP"	10.1804882091769
"353"	"Olfr136"	"OMPGFP"	0
"354"	"Olfr1360"	"OMPGFP"	0.788441787000621
"355"	"Olfr1361"	"OMPGFP"	16.0350700402307
"356"	"Olfr1362"	"OMPGFP"	3.37264492038677
"357"	"Olfr1364"	"OMPGFP"	19.0752860683126
"358"	"Olfr1366"	"OMPGFP"	14.098862438029
"359"	"Olfr1367"	"OMPGFP"	2.56336998048543
"360"	"Olfr1368"	"OMPGFP"	12.8067339987946
"361"	"Olfr1369-ps1"	"OMPGFP"	2.99261138044464
"362"	"Olfr137"	"OMPGFP"	0
"363"	"Olfr1370"	"OMPGFP"	14.4809137094191
"364"	"Olfr1371"	"OMPGFP"	0
"365"	"Olfr1372-ps1"	"OMPGFP"	70.3145771400921
"366"	"Olfr1373"	"OMPGFP"	0
"367"	"Olfr1375"	"OMPGFP"	0
"368"	"Olfr1377"	"OMPGFP"	1.2030719365677
"369"	"Olfr1378"	"OMPGFP"	5.98763448235725
"370"	"Olfr1379-ps1"	"OMPGFP"	0
"371"	"Olfr138"	"OMPGFP"	7.78511789683233
"372"	"Olfr1380"	"OMPGFP"	6.69358865498832
"373"	"Olfr1381"	"OMPGFP"	3.38255826067809
"374"	"Olfr1382"	"OMPGFP"	13.0085236776014
"375"	"Olfr1383"	"OMPGFP"	4.18733202337466
"376"	"Olfr1384"	"OMPGFP"	28.2982543565132
"377"	"Olfr1385"	"OMPGFP"	8.24838407289167
"378"	"Olfr1386"	"OMPGFP"	15.1945882622261
"379"	"Olfr1387"	"OMPGFP"	3.46207839668704
"380"	"Olfr1388"	"OMPGFP"	1.37823491863654
"381"	"Olfr1389"	"OMPGFP"	8.09564498005147
"382"	"Olfr139"	"OMPGFP"	4.83525000788866
"383"	"Olfr1390"	"OMPGFP"	1.23307073809792
"384"	"Olfr1391"	"OMPGFP"	12.2514338023157
"385"	"Olfr1392"	"OMPGFP"	25.4347774527673
"386"	"Olfr1393"	"OMPGFP"	2.99183129275993
"387"	"Olfr1394"	"OMPGFP"	1.51288758701792
"388"	"Olfr1395"	"OMPGFP"	39.3586758014787
"389"	"Olfr1396"	"OMPGFP"	5.54898163726126
"390"	"Olfr1397-ps1"	"OMPGFP"	0
"391"	"Olfr140"	"OMPGFP"	16.6960498897329
"392"	"Olfr1402"	"OMPGFP"	3.24198441088367
"393"	"Olfr1404"	"OMPGFP"	7.76142765979103
"394"	"Olfr1406"	"OMPGFP"	13.8442167377475
"395"	"Olfr1408"	"OMPGFP"	23.8313551431378
"396"	"Olfr141"	"OMPGFP"	0.136611200717929
"397"	"Olfr1410"	"OMPGFP"	4.94626761220089
"398"	"Olfr1411"	"OMPGFP"	5.48715667649564
"399"	"Olfr1412"	"OMPGFP"	8.22665713872884
"400"	"Olfr1413"	"OMPGFP"	0
"401"	"Olfr1414"	"OMPGFP"	5.01735682636759
"402"	"Olfr1415"	"OMPGFP"	3.83936870191607
"403"	"Olfr1416"	"OMPGFP"	7.30928795600744
"404"	"Olfr1417"	"OMPGFP"	34.4057330335196
"405"	"Olfr1418"	"OMPGFP"	8.78471472021453
"406"	"Olfr1419"	"OMPGFP"	17.9805946579612
"407"	"Olfr142"	"OMPGFP"	3.58500004678776
"408"	"Olfr1420"	"OMPGFP"	46.8436058517918
"409"	"Olfr1423"	"OMPGFP"	23.1621581153333
"410"	"Olfr1424"	"OMPGFP"	5.86424522814669
"411"	"Olfr1425"	"OMPGFP"	2.95576961553338
